CITIES;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
SIOUX CITY, IA;0,59;0,62;2;2,75;3,75;3,61;3,3;2,9;2,42;1,99;1,4;0,66
SIOUX FALLS, SD;0,51;0,51;1,81;2,65;3,39;3,49;2,93;3,01;2,58;1,93;1,36;0,52
SOUTH BEND, IN;2,27;1,98;2,89;3,62;3,5;4,19;3,73;3,98;3,79;3,27;3,39;3,09
SPOKANE, WA;1,82;1,51;1,53;1,28;1,6;1,18;0,76;0,68;0,76;1,06;2,24;2,25
SPRINGFIELD, IL;1,62;1,8;3,15;3,36;4,06;3,77;3,53;3,41;2,83;2,62;2,87;2,54
ST. LOUIS, MO;2,14;2,28;3,6;3,69;4,11;3,76;3,9;2,98;2,96;2,76;3,71;2,86
ST. PAUL ISLAND, AK;1,74;1,25;1,12;1,12;1,21;1,41;1,91;2,96;2,79;2,7;2,87;2,13
STOCKTON, CA;2,71;2,46;2,28;0,96;0,5;0,09;0,05;0,05;0,33;0,82;1,77;1,82
SYRACUSE, NY;2,6;2,12;3,02;3,39;3,39;3,71;4,02;3,56;4,15;3,2;3,77;3,12
TALKEETNA, AK;1,45;1,28;1,26;1,22;1,64;2,41;3,24;4,53;4,35;3,06;1,78;1,96
TALLAHASSEE, FL;5,36;4,63;6,47;3,59;4,95;6,92;8,04;7,03;5,01;3,25;3,86;4,1
TAMPA, FL;2,27;2,67;2,84;1,8;2,85;5,5;6,49;7,6;6,54;2,29;1,62;2,3
TOLEDO, OH;1,93;1,88;2,62;3,24;3,14;3,8;2,8;3,19;2,84;2,35;2,78;2,64
TOPEKA, KS;0,95;1,18;2,56;3,14;4,86;4,88;3,83;3,81;3,71;2,99;2,31;1,42
TUCSON, AZ;0,99;0,88;0,81;0,28;0,24;0,24;2,07;2,3;1,45;1,21;0,67;1,03
TULSA, OK;1,6;1,95;3,57;3,95;6,11;4,72;2,96;2,85;4,76;4,05;3,47;2,43
TUPELO, MS;5,14;4,68;6,3;4,94;5,8;4,82;3,65;2,67;3,35;3,38;5,01;6,12
UNALAKLEET, AK;0,4;0,31;0,39;0,35;0,55;1,25;2,15;2,92;2,1;0,89;0,66;0,47
VALDEZ, AK;6,02;5,53;4,49;3,55;3,08;3,01;3,84;6,62;9,59;8,58;5,51;7,59
VALENTINE, NE;0,3;0,48;1,11;1,97;3,2;3,01;3,37;2,2;1,61;1,22;0,72;0,33
VERO BEACH, FL;2,89;2,45;4,2;2,88;3,8;6,03;6,53;6,04;6,84;5,04;3,04;2,19
VICTORIA, TX;2,44;2,04;2,25;2,97;5,12;4,96;2,9;3,05;5;4,26;2,64;2,47
WACO, TX;1,9;2,43;2,48;2,99;4,46;3,08;2,23;1,85;2,88;3,67;2,61;2,76
WAKE ISLAND, PC;1,4;1,89;2,38;2,11;1,7;1,95;3,44;5,62;4,82;4,27;2,78;1,87
WASHINGTON DULLES AP, D.C.;3,05;2,77;3,55;3,22;4,22;4,07;3,57;3,78;3,82;3,37;3,31;3,07
WASHINGTON NAT'L AP, D.C.;3,21;2,63;3,6;2,77;3,82;3,13;3,66;3,44;3,79;3,22;3,03;3,05
WATERLOO, IA;0,84;1,05;2,13;3,23;4,15;4,82;4,2;4,08;2,95;2,49;2,1;1,11
WEST PALM BEACH, FL;3,75;2,55;3,68;3,57;5,39;7,58;5,97;6,65;8,1;5,46;5,55;3,14
WICHITA FALLS, TX;1,12;1,57;2,27;2,62;3,92;3,69;1,58;2,38;3,19;3,11;1,68;1,68
WICHITA, KS;0,84;1,02;2,71;2,57;4,16;4,25;3,31;2,94;2,96;2,45;1,82;1,35
WILLIAMSPORT, PA;2,85;2,61;3,21;3,49;3,79;4,45;4,08;3,38;3,98;3,19;3,62;2,94
WILLISTON, ND;0,54;0,39;0,74;1,05;1,88;2,36;2,28;1,48;1,35;0,87;0,65;0,57
WILMINGTON, DE;3,43;2,81;3,97;3,39;4,15;3,59;4,28;3,51;4,01;3,08;3,19;3,4
WINNEMUCCA, NV;0,83;0,62;0,86;0,85;1,06;0,69;0,27;0,35;0,53;0,66;0,8;0,81
WINSLOW, AZ;0,46;0,53;0,61;0,27;0,36;0,3;1,18;1,31;1,02;0,9;0,55;0,54
WORCESTER, MA;4,07;3,1;4,23;3,92;4,35;4,02;4,19;4,09;4,27;4,67;4,34;3,8
YAKIMA, WA;1,17;0,8;0,7;0,53;0,51;0,62;0,22;0,36;0,39;0,53;1,05;1,38
YAKUTAT, AK;13,18;10,99;11,41;10,8;9,78;7,17;7,88;13,27;20,88;24;15,17;15,85
YAP, PC;7,24;5,45;6,14;5,58;8,15;13,46;13,25;14,41;13,53;12,25;8,82;9,34
YOUNGSTOWN, OH;2,34;2,03;3,05;3,33;3,45;3,91;4,1;3,43;3,89;2,46;3,07;2,96
YUMA, AZ;0,38;0,28;0,27;0,09;0,05;0,02;0,23;0,61;0,26;0,26;0,14;0,42
